catchment,year,month,replicate,Aeshna,Alloperla,Ameletus,Amphinemura,Antocha,Baetis,Boyeria,Centroptilum,Ceratopogonidae,Chelifera,Cheumatopsyche,Chironomidae,Chloroperlidae,Chloroperlinae,Clinocera,Clitellata,Collembola,Culicidae,Dicranota,Diptera,Diura,Dixa,Dixidae,Dolichopodidae,Dolophilodes,Dytiscidae,Elmidae,Empididae,Epeorus,Ephemerella,Ephemerellidae,Epitheca,Eurylophella,Glossosoma,Gomphidae,Habrophlebia,Haploperla,Heptagenia,Heptageniidae,Hesperophylax,Heterocloeon,Hexatoma,Holorusia,Hydatophylax,Hydrophilidae,Hydropsyche,Hydropsychidae,Hydroptila,Isogenoides,Isoperla,Lepidostoma,Leptoceridae,Leptophlebia,Leptophlebiidae,Leuctra,Limnephilidae,Limnephilus,Limnophila,Lype,Molophilus,Natarsia,Nemoura,Neophylax,Neurocordulia,Odonata,Onocosmoecus,Oreogeton,Ormosia,Oxyethira,Paracapnia,Paraleptophlebia,Parapsyche,Pedicia,Plecoptera,Polycentropus,Prosimulium,Pseudolimnophila,Pseudostenophylax,Psychoglypha,Pycnopsyche,Rhithrogena,Rhyacophila,Serratella,Simulium,Stenacron,Stenonema,Tabanidae,Taeniopteryx,Tanypodinae,Tanytarsini,Tipula,Tipulidae,Trichoptera
33,2001,may,1,NA,0,24.242424242424242,NA,0,0,NA,NA,0,12.121212121212121,NA,154.54545454545453,9.09090909090909,6.0606060606060606,0,NA,NA,NA,27.27272727272727,0,NA,NA,3.0303030303030303,NA,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,0,9.09090909090909,0,NA,NA,27.27272727272727,0,0,0,NA,3.0303030303030303,NA,0,6.0606060606060606,NA,NA,0,0,NA,NA,NA,NA,6.0606060606060606,3.0303030303030303,0,3.0303030303030303,48.484848484848484,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,81.81818181818181,42.42424242424242,0,0,0
33,2001,may,2,NA,0,24.242424242424242,NA,0,3.0303030303030303,NA,NA,6.0606060606060606,3.0303030303030303,NA,66.66666666666666,18.18181818181818,15.15151515151515,0,NA,NA,NA,27.27272727272727,0,NA,NA,0,NA,3.0303030303030303,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,6.0606060606060606,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,3.0303030303030303,3.0303030303030303,0,NA,NA,12.121212121212121,0,0,0,NA,3.0303030303030303,NA,3.0303030303030303,3.0303030303030303,NA,NA,0,0,NA,NA,NA,NA,30.3030303030303,0,0,0,36.36363636363636,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,18.18181818181818,18.18181818181818,0,0,0
33,2001,may,3,NA,0,21.21212121212121,NA,0,3.0303030303030303,NA,NA,27.27272727272727,3.0303030303030303,NA,396.96969696969694,9.09090909090909,51.515151515151516,0,NA,NA,NA,36.36363636363636,106.06060606060606,NA,NA,0,NA,21.21212121212121,NA,NA,NA,NA,NA,NA,NA,3.0303030303030303,0,NA,NA,0,NA,NA,3.0303030303030303,0,0,0,0,NA,0,NA,NA,0,0,6.0606060606060606,0,NA,NA,45.45454545454545,0,0,0,NA,0,NA,3.0303030303030303,3.0303030303030303,NA,NA,0,0,NA,NA,NA,NA,75.75757575757575,3.0303030303030303,0,0,130.30303030303028,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,21.21212121212121,39.39393939393939,0,0,9.09090909090909
33,2001,may,4,NA,0,12.121212121212121,NA,3.0303030303030303,6.0606060606060606,NA,NA,12.121212121212121,6.0606060606060606,NA,296.96969696969694,27.27272727272727,24.242424242424242,0,NA,NA,NA,42.42424242424242,0,NA,NA,0,NA,21.21212121212121,NA,NA,NA,NA,NA,NA,NA,3.0303030303030303,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,0,15.15151515151515,0,NA,NA,75.75757575757575,0,0,0,NA,18.18181818181818,NA,15.15151515151515,3.0303030303030303,NA,NA,0,3.0303030303030303,NA,NA,NA,NA,60.6060606060606,12.121212121212121,0,0,87.87878787878788,NA,3.0303030303030303,NA,0,NA,0,NA,0,NA,NA,0,NA,60.6060606060606,78.78787878787878,0,0,0
33,2001,may,5,NA,0,0,NA,0,3.0303030303030303,NA,NA,12.121212121212121,6.0606060606060606,NA,687.8787878787879,42.42424242424242,15.15151515151515,0,NA,NA,NA,57.57575757575757,0,NA,NA,0,NA,12.121212121212121,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,3.0303030303030303,0,0,0,NA,0,NA,NA,0,0,15.15151515151515,0,NA,NA,84.84848484848484,0,0,0,NA,6.0606060606060606,NA,3.0303030303030303,0,NA,NA,0,0,NA,NA,NA,NA,45.45454545454545,12.121212121212121,0,0,115.15151515151514,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,72.72727272727272,48.484848484848484,0,0,0
33,2001,may,6,NA,0,9.09090909090909,NA,0,3.0303030303030303,NA,NA,3.0303030303030303,0,NA,157.57575757575756,0,21.21212121212121,0,NA,NA,NA,36.36363636363636,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,0,3.0303030303030303,0,NA,NA,42.42424242424242,0,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,36.36363636363636,3.0303030303030303,0,0,30.3030303030303,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,69.69696969696969,27.27272727272727,0,0,0
33,2001,may,7,NA,0,24.242424242424242,NA,0,3.0303030303030303,NA,NA,3.0303030303030303,3.0303030303030303,NA,518.1818181818181,15.15151515151515,75.75757575757575,0,NA,NA,NA,78.78787878787878,66.66666666666666,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3.0303030303030303,0,NA,NA,0,NA,NA,3.0303030303030303,0,0,0,0,NA,0,NA,NA,0,0,6.0606060606060606,0,NA,NA,87.87878787878788,0,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,3.0303030303030303,30.3030303030303,0,0,0,NA,3.0303030303030303,NA,6.0606060606060606,NA,0,NA,0,NA,NA,0,NA,124.24242424242424,136.36363636363635,0,0,9.09090909090909
33,2001,may,8,NA,0,30.3030303030303,NA,0,0,NA,NA,0,3.0303030303030303,NA,78.78787878787878,15.15151515151515,3.0303030303030303,0,NA,NA,NA,12.121212121212121,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,9.09090909090909,0,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,9.09090909090909,0,0,0,3.0303030303030303,NA,0,NA,0,NA,3.0303030303030303,NA,0,NA,NA,0,NA,39.39393939393939,21.21212121212121,0,0,0
33,2001,may,9,NA,0,21.21212121212121,NA,3.0303030303030303,24.242424242424242,NA,NA,9.09090909090909,0,NA,233.33333333333331,9.09090909090909,27.27272727272727,0,NA,NA,NA,24.242424242424242,0,NA,NA,0,NA,45.45454545454545,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,9.09090909090909,0,0,0,0,NA,0,NA,NA,0,0,6.0606060606060606,0,NA,NA,81.81818181818181,0,0,0,NA,3.0303030303030303,NA,3.0303030303030303,0,NA,NA,0,0,NA,NA,NA,NA,12.121212121212121,0,3.0303030303030303,0,36.36363636363636,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,60.6060606060606,63.63636363636363,0,0,0
33,2001,may,10,NA,0,15.15151515151515,NA,0,9.09090909090909,NA,NA,18.18181818181818,6.0606060606060606,NA,160.6060606060606,12.121212121212121,12.121212121212121,0,NA,NA,NA,18.18181818181818,0,NA,NA,0,NA,27.27272727272727,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,3.0303030303030303,0,0,0,NA,0,NA,NA,0,0,3.0303030303030303,0,NA,NA,39.39393939393939,0,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,12.121212121212121,0,0,0,60.6060606060606,NA,0,NA,0,NA,3.0303030303030303,NA,0,NA,NA,0,NA,15.15151515151515,42.42424242424242,0,0,0
